Name,Operator,Type,Pipeline,Status,States,Regions,Authority,Docket,Updated,Completed,Year,Cost,Miles,Capacity,Diameter
Monroe Storage Field TCP Lateral,Monroe Gas Storage Co. LLC,Lateral,Interstate,Completed,MS,Southeast,FERC,CP07-406,3/11/10,2009,2009,42,23,465,24
CEGT Long Lake Compressor Station Project,Centerpoint Energy Gas Transmission,Expansion,Interstate,Completed,LA,Southwest,FERC,CP08-455,7/8/10,2009,2009,10,1,90,
CEGT Searcy Ph 2,Centerpoint Energy Gas Transmission,Lateral,Interstate,Completed,AR,Southwest,FERC,CP09-175,7/29/09,2009,2009,10,,250,
CEGT Tontitown Project,Centerpoint Energy Gas Transmission,New Pipeline,Interstate,Completed,OK,Southwest,FERC,CP08-69,7/8/10,2009,2009,26,8,66,24
CEGT Tontitown Project,Centerpoint Energy Gas Transmission,New Pipeline,Interstate,Completed,AR,Southwest,FERC,CP08-69,7/8/10,2009,2009,26,8,66,24
Kia Motor Lateral,City of LaGrange,Lateral,Intrastate,Completed,GA,Southeast,State,na,7/8/10,2009,2009,6,13,14,
ET Southern Shale,Energy Transfer Co,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,7/8/10,2009,2009,70,31,700,36
CGT Eastern Market Expansion,Columbia Gas Transmission,Expansion,Interstate,Completed,VA,Northeast,FERC,CP07-367,7/8/10,2009,2009,142,15,94,"36,26"
KM REX/NGPL Phase 1,Kinder Morgan Energy Partners,New Pipeline,Interstate,Completed,WY,Central,FERC,na,6/26/09,2009,2009,291.666666666667,58.3333333333333,333.333333333333,42
KM REX/NGPL Phase 1,Kinder Morgan Energy Partners,New Pipeline,Interstate,Completed,KS,Central,FERC,na,6/26/09,2009,2009,291.666666666667,58.3333333333333,333.333333333333,42
KM REX/NGPL Phase 1,Kinder Morgan Energy Partners,New Pipeline,Interstate,Completed,IA,Central,FERC,na,6/26/09,2009,2009,291.666666666667,58.3333333333333,333.333333333333,42
Dominion Utica 7 Project,Dominion Transmission,Expansion,Interstate,Completed,NY,Northeast,FERC,CP08-45,7/8/10,2009,2009,6,,15,
Dominion Quantico Compression Expansion,Dominion Transmission,Expansion,Interstate,Completed,VA,Northeast,FERC,CP07-31,7/8/10,2009,2009,21,,180,
ET Katy Pipeline Expansion,Energy Transfer Co,Expansion,Intrastate,Completed,TX,Southwest,State,na,7/8/10,2009,2009,165,56,400,36
ET Texas Independence Pipeline,Energy Transfer Partners LP,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,7/8/10,2009,2009,485,160,1100,42
Enterprise Sherman Extension,Enterprise Products Partners,New Pipeline,Intrastate,Completed,TX,Southwest,State,na,7/8/10,2009,2009,522,174,950,"36,30"
Guardian Pipeline Expansion and Extension Project,Guardian Pipeline Co,Expansion,Interstate,Completed,WI,Midwest,FERC,CP07-8,7/8/10,2009,2009,350,119,537,"30,20"
Gulf Crossing Pipeline Project,Gulf Crossing Pipeline,New Pipeline,Interstate,Completed,OK,Southwest,FERC,CP07-398,7/8/10,2009,2009,60.5,176.5,863,42
Gulf Crossing Pipeline Project,Gulf Crossing Pipeline,New Pipeline,Interstate,Completed,LA,Southwest,FERC,CP07-398,7/8/10,2009,2009,60.5,176.5,863,42
Iroquois 08/09 Expansion Phase 2,Iroquois Pipeline Co,Expansion,Interstate,Completed,CT,Northeast,FERC,CP07-457,7/8/10,2009,2009,42,,80,
Iroquois 08/09 Expansion Phase 3,Iroquois Pipeline Co,Expansion,Interstate,Completed,NY,Northeast,FERC,CP07-457,7/8/10,2009,2009,24,,25,16
KM Nebraska Ethanol Expansion Project,Kinder Morgan Energy Partners,Lateral,Interstate,Completed,NE,Central,FERC,CP08-44,7/8/10,2009,2009,24,25,22,"16,12"
KM REX-East Leg 1,Rockies Express Pipeline,New Pipeline,Interstate,Completed,MO,"Central,Midwest",FERC,CP07-208,7/8/10,2009,2009,716.666666666667,148,533.333333333333,42
KM REX-East Leg 1,Rockies Express Pipeline,New Pipeline,Interstate,Completed,IN,"Central,Midwest",FERC,CP07-208,7/8/10,2009,2009,716.666666666667,148,533.333333333333,42
KM REX-East Leg 1,Rockies Express Pipeline,New Pipeline,Interstate,Completed,OH,"Central,Midwest",FERC,CP07-208,7/8/10,2009,2009,716.666666666667,148,533.333333333333,42
KM REX/NGPL Joint Project Phase 2,Kinder Morgan Energy Partners,New Pipeline,Interstate,Completed,IA,"Central,Midwest",FERC,na,6/26/09,2009,2009,600,120,500,42
KM REX/NGPL Joint Project Phase 2,Kinder Morgan Energy Partners,New Pipeline,Interstate,Completed,IL,"Central,Midwest",FERC,na,6/26/09,2009,2009,600,120,500,42
CGT 2008 Appalachian Expansion,Columbia Gas Transmission,Expansion,Interstate,Completed,WV,Northeast,FERC,CP08-85,7/8/10,2009,2009,40,,100,
Hampton Roads Crossing (HRX),Virginia natural Gas Co,Expansion,Intrastate,Completed,VA,Northeast,State,na,7/8/10,2009,2009,146,21,100,16
Tenneco Carthage Lateral Expansion,Tennessee Gas Pipeline Co,Lateral,Interstate,Completed,TX,Southwest,FERC,CP08-27,7/8/10,2009,2009,21,0.5,50,12
