"","lon","lat","Company","Field","Location","Type","Total","Working"
"196",-88.556531,33.8773585,"Tarpon Whitetail Gas Storage, LLC","Tarpon Whitetail","Monroe, MS","DGF",25.43,16.1
"197",-77.8367282,41.6682559,"Tennessee Gas Pipeline Company","Hebron","Potter, PA","DGF",29.3,17.3
"198",-79.2902133,39.5681243,"Texas Eastern Tranmission","Accident","Garett, MD","DGF",64,18.3
"199",-86.48233,40.124119,"Texas Gas Transmission Corporation","Alford","Pike, IN","DGF",2.52,0.92
"200",-86.0252612,39.8386516,"Texas Gas Transmission Corporation","Lessville","Lawrence, IN","Aquifer",3.8,1.79
"201",-123.4109811,48.1402359,"Texas Gas Transmission Corporation","Oaktown","Know, IN","DGF",1.05,0.3
"202",-87.4058525,39.0953199,"Texas Gas Transmission Corporation","Wilfred","Sullivan, IN","Aquifer",4.79,1.98
"203",-87.5900134,37.8361538,"Texas Gas Transmission Corporation","Dixie","Henderson, KY","DGF",7.69,3
"204",-87.1422895,37.1772501,"Texas Gas Transmission Corporation","Graham Lake","Muhlenberg, KY","DGF",3.8,1.3
"205",-87.5791287,37.3153093,"Texas Gas Transmission Corporation","Hanson","Hopkins, KY","DGF",12.09,5.59
"206",-87.1422895,37.1772501,"Texas Gas Transmission Corporation","Midland","Muhlenberg, KY","DGF",136.32,65.18
"207",-87.1422895,37.1772501,"Texas Gas Transmission Corporation","West Greenville","Muhlenberg, KY","DGF",8.3,4.18
"208",-90.8308712,29.9828316,"Transcontinental Gas Pipeline Corporation","Hester","St. James, LA","DGF",23.53,12
"209",-90.8308712,29.9828316,"Transcontinental Gas Pipeline Corporation","Washington","St. James, LA","DGF",120,75
"210",-89.5874819,31.6732735,"Transcontinental Gas Pipeline Corporation","Eminence Salt Cavern","Covington, MS","SC",22.72,15
"211",-95.9713474,28.9627682,"Tres Palacios Gas Storage, LLC","Markham","Matagorda
Wharton, , TX","SC",41.69,27.05
"213",-90.9907619,29.6877674,"Trunkline Gas Company, LLC","Epps","Caroll, LA","DGF",43,13
"214",-77.1330265,41.9086848,"UGI Storage Company","Tioga West/Meeker","Tioga, PA","DGF",5.2,3.7
"216",-105.1213956,46.8349461,"Williston Basin Interstate Pipeline Company","Baker                          ","Fallon, MT","DGF",287.2,164.43
"217",-106.4272801,43.9557212,"Williston Basin Interstate Pipeline Company","Billy Creek","Johnson, WY","DGF",2.94,0.54
"218",-109.4579855,44.6782103,"Williston Basin Interstate Pipeline Company","Elk Basin","Park, WY","DGF",63.21,28.38
"219",-75.2829465,43.3200694,"Wycoff Gas Storage Company","Wycoff","Steuben, NY","DGF",6.97,6.11
"220",-103.7289167,40.2989226,"Young Gas Storage, LTD","Young","Morgan, CO","DGF",9.95,5.79
